full_name#string#id#boolean#blank#year#tiny_integer#small_integer#mid_integer#big_ineger#tiny_real#small_real#mid_real#big_real#percentage#character#characters_digits_2#characters_digits_10#command#date
Daphna Bisiker#Arnoseris#1#false##2009#95#11634#-512952#932296327#-13.16#57662.9#934405.88#142052234.74#64.81%#p#no#jPkbpqoYkm#a2p#14 March 2001
Betteanne Tuckie#Low Beardtongue#2#true##1992#-34#60149#218591#-780385638#86.59#82505.87#-488633.56#60418908.25#91.32%#g#Yf#O6PbgLyiar#accept#21 August 2002
Alika Volleth#Chaparral Pea#3#false##1985#57#74555#974978#-538692248#29.79#-24125.74#-190054.15#179424330.64#81.91%#d#A9#AOQiwuS4Xm#afclip#4 September 2002
Allissa Morais#Pipsissewa#4#false##1999#-31#-77723#-233107#-538120238#14.9#28437.97#924256.46#574219920.31#24.80%#v#zZ#YuHV2kYJvL#afm2tfm#24 November 2002
Fremont Brailsford#Roundleaf Snowberry#5#true##1993#-74#1190#-827546#-397150602#-22.48#-60216.98#-382538.76#-561511383.09#14.13%#y#oP#4RhHghhvA3#alias#30 November 2002
Melony Petrichat#Heartleaf Suncup#6#false##1995#61#30002#-527896#-205228485#11.56#-45423.26#579950.3#-724891069.43#45.06%#w#BV#MnAHyndJV2#annotate#9 January 2003
Averyl Pescud#Western Blue Virginsbower#7#true##2007#43#-99411#-72467#24474486#-40.91#68642.94#575228.21#662117871.87#28.78%#s#jL#2ffGED5RUd#appres#10 January 2003
Ilise Stych#Sedge#8#false##2010#39#51457#577696#853384745#31.58#72316.7#-174850.85#141080200.77#51.91%#p#IO#iXohl0zUSF#arch#8 February 2003
Maxy End#Mendez's Sandmat#9#true##1999#-80#11702#-886429#-557043229#81.08#-38957.31#153231.11#-863078706.54#29.39%#n#bk#EDMqv2t0UH#asr#11 June 2003
Helge Felderer#Hawkweed#10#false##1994#-98#14035#879007#252192072#68.23#55599.57#-171600.11#-279309548.51#41.02%#b#bU#sXu5k3zDB1#atq#9 August 2003
Cecil Grouen#Carolina Ponysfoot#11#false##2011#4#-55935#933750#-553416809#-5.01#-93575.23#980677.74#-710552041.61#32.35%#z#B4#1racdUMRZg#autoconf#5 June 2004
